title,price,location,URL
LUXURY 1x1 BEDROOM APARTMETNS,"2,045",oakland downtown,https://sfbay.craigslist.org/eby/apa/d/oakland-luxury-1x1-bedroom-apartmetns/7712447990.html
Packard Lofts! Across Street From YMCA! Next To Drakes!,"2,597",oakland downtown,https://sfbay.craigslist.org/eby/apa/d/oakland-packard-lofts-across-street/7709607971.html
Horse Ranch on 5 acres in West Cotati,"6,000",rohnert pk / cotati,https://sfbay.craigslist.org/nby/apa/d/rohnert-park-horse-ranch-on-acres-in/7712459929.html
"Remodeled 2bed, within Walking Distance to CSU East Bay! Parking!","2,250",hayward / castro valley,https://sfbay.craigslist.org/eby/apa/d/hayward-remodeled-2bed-within-walking/7712425422.html
"In-Home Washer & Dryer, High-Speed Internet Access","2,372",san rafael,https://sfbay.craigslist.org/nby/apa/d/san-rafael-in-home-washer-dryer-high/7710487371.html
"Wonderful 999 sqft, 2 bed, 2 bath floorplan in Fremont","3,047",fremont / union city / newark,https://sfbay.craigslist.org/eby/apa/d/fremont-wonderful-999-sqft-bed-bath/7705443481.html
Free Month!! Spacious 1 bedroom AVAILABLE NOW!!!,"2,395",lower nob hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-free-month-spacious/7712456844.html
Just right for you! A gorgeous 1 bed 1 bath apartment awaits!,"2,559",fremont / union city / newark,https://sfbay.craigslist.org/eby/apa/d/fremont-just-right-for-you-gorgeous-bed/7710422803.html
Packard Lofts! Across Street From YMCA! Next To Drakes!,"3,252",oakland downtown,https://sfbay.craigslist.org/eby/apa/d/oakland-packard-lofts-across-street/7707168985.html
1227 1/2 Park Ave - 1 bedroom | 1 bath | Cottage,"2,395",alameda,https://sfbay.craigslist.org/eby/apa/d/oakland-park-ave-bedroom-bath-cottage/7712459506.html
REMODELED huge studio with HARDWOOD FLOORS across from Lake Merrit,"1,850",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-remodeled-huge-studio-with/7711647768.html
Minutes to Castro Street!,"3,195",mountain view,https://sfbay.craigslist.org/sby/apa/d/mountain-view-minutes-to-castro-street/7712459441.html
